ID,longitude,latitude
0,224.0368080645850634713411864,-446.9983318002789252076922821
1,224.0368080645850634713411864,-446.9983318002789252076922821
2,239.0368060949012534642947560,-447.0040613776928307291049694
3,254.0367450347031432458554126,-447.0441683551018440711928290
4,269.0363294314192317590585913,-447.1530292296645187454177069
5,284.0347911083636162557964237,-447.3650159843566367171748194
6,299.0306528026787914512460854,-447.7144870596056653136594922
7,314.0214918032784486782981446,-448.2357701993962253488139668
8,329.0037035887902750419849101,-448.9631344633369075377142935
9,343.9722654654987525739087796,-449.9307486961787742727573349
10,358.9205002052879573866705874,-451.1726237462758838340079011
11,373.8398396835843588282979528,-452.7225357244781741060660378
12,388.7195885172996186366736283,-454.6139275949470428738144916
13,403.5466877027733900939638474,-456.8797863893839617694063707
14,418.3054782537161171810466732,-459.5524933361624609428530274
15,418.3054782537161588144100967,-459.5524933361624609428530274
16,432.9711587617828867750133561,-462.6990693707679581169655702
17,447.5358570864896908084815443,-466.2841339750010927833101104
18,461.9864659824319593032313271,-470.3044608327026321969354794
19,476.3099808769901739972183243,-474.7564319210646156054677757
20,490.4935115735674140794528632,-479.6360407666065096076634799
21,504.5242938518965432440708020,-484.9388960507310620339693341
22,518.3897009549763342065673334,-490.6602255616145614258071927
23,532.0772549523009649455971050,-496.7948804888753467434070043
24,545.5746379691549848115570178,-503.3373400571556589088628297
25,558.8697032718692499323551494,-510.2817164944468365039198087
26,571.9504861990613360615085305,-517.6217603306867099465704140
27,584.8052149290230757142736486,-525.3508660218606752333924814
28,597.4223210735656648776667800,-533.4620778945457176344801664
29,609.7904500887882158036787707,-541.9480964055467209849381160
30,621.8984714934005837808725693,-550.8012847109929566801666678
31,633.7354888854056285499935832,-560.0136755389817600569357236
32,645.2908497481252055142461933,-569.5769783595856739576901017
33,656.5541550367463892560279994,-579.4825868457696661028477192
34,667.5152685367595535684912313,-589.7215866185047351077285893
35,678.1643259858678769828130618,-600.2847632691072588617031269
36,688.4917439511568422564422355,-611.1626106515845824961785237
37,698.4882284535374515169834132,-622.3453394375252590375224426
38,708.1447833317001446066327510,-633.8228859258333803349727131
39,717.4527183380523860759623069,-645.5849210993806720015241862
40,726.4036569593552479621265440,-657.6208599204245398094825359
41,734.9895439550197857973088168,-669.9198708564275362508566158
42,743.2026526062799117004018292,-682.4708856277054936444925315
43,751.0355916697177054811660248,-695.2626091681323961612348339
44,758.4813120288835582120199098,-708.2835297899373561769009311
45,765.5331130380252142967420816,-721.5219295434464841864552053
46,772.1846485522168897323111771,-734.9658947624467487191223935
47,778.4299326384608637522475085,-748.6033267856815288176419298
48,784.2633449626235427157936221,-762.4219528448289662857972470
49,789.6796358473567641159760235,-776.4093371091650942005712576
50,794.6739309964529259059460066,-790.5528918769720814829126820
51,799.2417358813826751377049397,-804.8398889036202886259529632
52,803.3789397860670363041932553,-819.2574708561290120566921868
53,807.0818195062447793323243452,-833.7926628838986759594730924
54,810.3470427001046357088440465,-848.4323842952002465233518191
55,810.3470427001046357088440465,-848.4323842952002465233518191
56,813.0197496468831357860059836,-863.1911748461429734467785445
57,815.2856084413200555894958406,-878.0182740316167447653249276
58,817.1770003117889252683661334,-892.8980228653320044578862531
59,818.7269122899912164539703370,-907.8173623436284058046088814
60,819.9687873400883269305362945,-922.7655970834176105413277739
61,820.9364015729301945821394055,-937.7341589601260880140023598
62,821.6637658368708776884356175,-952.7163707456379143331509094
63,822.1850489766614386415142420,-967.7072097462375715282835822
64,822.5345200519104681562306161,-982.7030714405527467023343122
65,822.7465068066025870463786328,-997.7015331174971311860916995
66,822.8553676811652626390631617,-1012.701117514213219692629072
67,822.8954746585742768996323818,-1027.701056454015109471733885
68,822.9012042359881833395300478,-1042.701054484331299464336619
69,822.9012042359881842580151472,-1057.701054484331299464336619
70,822.9012042359881851765002466,-1072.701054484331299464336619
71,822.9012042359881860949853460,-1087.701054484331299464336619
72,822.9012042359881870134704454,-1102.701054484331299464336619
73,822.9012042359881879319555448,-1117.701054484331299464336619
74,822.9012042359881888504406442,-1132.701054484331299464336619
75,822.9012042359881897689257436,-1147.701054484331299464336619
76,822.9012042359881906874108430,-1162.701054484331299464336619
77,822.9012042359881916058959424,-1177.701054484331299464336619
78,822.9012042359881925243810418,-1192.701054484331299464336619
79,822.9012042359881934428661412,-1207.701054484331299464336619
80,822.9012042359881943613512406,-1222.701054484331299464336619
81,822.9012042359881952798363400,-1237.701054484331299464336619
82,822.9012042359881961983214394,-1252.701054484331299464336619
83,822.9012042359881971168065388,-1267.701054484331299464336619
